,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
0,1.05,1,1,100.0,0.002534211860111505,[1. 2.],[0. 0.],100.0,0.0,[1. 2.],[0. 0.],100.0,0.0
1,1.07,1,1,100.0,0.002534211860111505,[1. 3.],[0. 2.],100.0,0.0,[1. 3.],[0. 2.],100.0,0.0
2,1.08,1,1,100.0,0.002534211860111505,[2. 4.],[0. 4.],100.0,100.0,[2. 4.],[0. 4.],100.0,100.0
3,1.09,2,2,100.0,0.00506842372022301,[1. 2.],[1. 0.],50.0,0.0,[1. 2.],[1. 0.],50.0,0.0
4,1.1,1,3,33.33333333333333,0.007602635580334516,[0.66666667 2.        ],[0.33333333 0.33333333],33.33333333333333,0.0,[1. 5.],[1. 1.],100.0,0.0
5,1.12,6,7,85.71428571428571,0.017739483020780537,[0.85714286 3.14285714],[0.28571429 1.42857143],71.42857142857143,28.57142857142857,[0.83333333 3.5       ],[0.33333333 1.66666667],83.33333333333334,33.33333333333333
6,1.14,11,14,78.57142857142857,0.035478966041561075,[1.         2.57142857],[0.42857143 1.07142857],64.28571428571429,21.428571428571427,[0.63636364 2.81818182],[0.27272727 1.09090909],63.63636363636363,18.181818181818183
7,1.16,25,33,75.75757575757575,0.08362899138367967,[0.78787879 3.15151515],[0.42424242 1.51515152],69.6969696969697,33.33333333333333,[0.48 3.84],[0.24 1.84],72.0,40.0
8,1.17,5,5,100.0,0.012671059300557527,[0.8 3.4],[0.4 0.8],100.0,0.0,[0.8 3.4],[0.4 0.8],100.0,0.0
9,1.18,16,20,80.0,0.05068423720223011,[0.7  3.25],[0.15 1.8 ],70.0,30.0,[0.5625 3.8125],[0.1875 2.125 ],81.25,37.5
10,1.2,43,49,87.75510204081633,0.12417638114546375,[0.75510204 2.91836735],[0.26530612 1.55102041],69.38775510204081,22.448979591836736,[0.60465116 3.1627907 ],[0.18604651 1.69767442],72.09302325581395,23.25581395348837
11,1.22,43,50,86.0,0.12671059300557527,[0.64 2.82],[0.3  1.02],66.0,12.0,[0.46511628 3.09302326],[0.20930233 1.13953488],72.09302325581395,11.627906976744185
12,1.25,60,73,82.1917808219178,0.1849974657881399,[0.65753425 2.49315068],[0.28767123 1.2739726 ],60.273972602739725,21.91780821917808,[0.5        2.81666667],[0.25 1.5 ],65.0,26.666666666666668
13,1.27,3,3,100.0,0.007602635580334516,[0.66666667 3.33333333],[0.         0.66666667],100.0,0.0,[0.66666667 3.33333333],[0.         0.66666667],100.0,0.0
