,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
0,1.91,1,1,100.0,0.002534211860111505,[1. 1.],[1. 0.],0.0,0.0,[1. 1.],[1. 0.],0.0,0.0
1,1.95,0,1,0.0,0.002534211860111505,[1. 3.],[0. 1.],100.0,0.0,,,,
2,2.0,1,1,100.0,0.002534211860111505,[1. 1.],[1. 0.],0.0,0.0,[1. 1.],[1. 0.],0.0,0.0
3,2.25,0,1,0.0,0.002534211860111505,[1. 0.],[0. 0.],0.0,0.0,,,,
4,2.4,1,1,100.0,0.002534211860111505,[2. 2.],[1. 1.],100.0,0.0,[2. 2.],[1. 1.],100.0,0.0
5,2.55,1,1,100.0,0.002534211860111505,[1. 1.],[1. 0.],0.0,0.0,[1. 1.],[1. 0.],0.0,0.0
6,2.6,2,4,50.0,0.01013684744044602,[0.75 0.25],[0.25 0.  ],0.0,0.0,[0.5 0.5],[0.5 0. ],0.0,0.0
7,2.62,3,8,37.5,0.02027369488089204,[1.    0.625],[0.375 0.375],37.5,0.0,[0.33333333 0.33333333],[0.         0.33333333],0.0,0.0
8,2.63,2,3,66.66666666666666,0.007602635580334516,[0.66666667 1.        ],[0.66666667 0.33333333],33.33333333333333,0.0,[0.5 0.5],[0.5 0. ],0.0,0.0
9,2.7,9,18,50.0,0.0456158134820071,[0.72222222 1.        ],[0.27777778 0.33333333],22.22222222222222,5.555555555555555,[0.66666667 0.66666667],[0.11111111 0.11111111],11.11111111111111,0.0
10,2.75,17,53,32.075471698113205,0.13431322858590977,[1.09433962 0.77358491],[0.45283019 0.37735849],28.30188679245283,3.7735849056603774,[0.76470588 0.76470588],[0.52941176 0.29411765],11.76470588235294,5.88235294117647
11,2.8,49,150,32.666666666666664,0.3801317790167258,[0.89333333 1.19333333],[0.41333333 0.50666667],36.666666666666664,3.3333333333333335,[0.71428571 0.71428571],[0.26530612 0.30612245],12.244897959183673,2.0408163265306123
12,2.87,50,159,31.446540880503143,0.4029396857577293,[1.1572327  1.05031447],[0.49056604 0.52830189],36.477987421383645,11.949685534591195,[0.78 0.78],[0.32 0.44],16.0,8.0
13,2.88,19,51,37.254901960784316,0.12924480486568676,[1.11764706 0.84313725],[0.43137255 0.2745098 ],31.372549019607842,1.9607843137254901,[0.78947368 0.78947368],[0.31578947 0.31578947],15.789473684210526,0.0
14,2.9,154,460,33.47826086956522,1.1657374556512925,[1.11304348 0.99347826],[0.48478261 0.43043478],33.26086956521739,6.304347826086956,[0.84415584 0.84415584],[0.33116883 0.41558442],14.285714285714285,3.896103896103896
15,3.0,507,1491,34.00402414486921,3.7785098834262545,[1.14688129 1.06841046],[0.51710262 0.48759222],38.76592890677398,7.578806170355466,[0.84023669 0.84023669],[0.40433925 0.39250493],16.765285996055226,4.733727810650888
16,3.1,730,2233,32.691446484549935,5.658895083628991,[1.18002687 1.05373936],[0.52530228 0.45857591],39.40886699507389,7.165248544558889,[0.83287671 0.83287671],[0.38630137 0.33561644],17.945205479452056,4.931506849315069
17,3.2,830,2728,30.425219941348974,6.913329954384187,[1.21480938 1.11143695],[0.54618768 0.48130499],41.05571847507331,8.394428152492669,[0.91445783 0.91445783],[0.41325301 0.41807229],20.12048192771084,5.1807228915662655
18,3.25,619,2080,29.759615384615383,5.271160669031931,[1.26923077 1.17596154],[0.55528846 0.51682692],44.13461538461539,9.182692307692308,[0.9644588 0.9644588],[0.44588045 0.41357027],23.586429725363487,7.1082390953150245
19,3.3,1033,3627,28.480838158257516,9.19158641662443,[1.29335539 1.18748277],[0.56465398 0.53818583],45.07857733664185,9.622277364212849,[0.93707648 0.93707648],[0.42981607 0.41819942],21.58760890609874,6.098741529525654
20,3.4,1386,4890,28.343558282208587,12.392295995945261,[1.35214724 1.23251534],[0.60490798 0.55173824],47.484662576687114,11.267893660531698,[1.02597403 1.02597403],[0.46681097 0.46825397],23.881673881673883,8.585858585858585
