,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
0,0.0,0,3,0.0,0.007602635580334516,[2. 3.],[1.66666667 2.        ],66.66666666666666,66.66666666666666,,,,
1,1.03,2,2,100.0,0.00506842372022301,[4.5 0.5],[1. 0.],100.0,0.0,[4.5 0.5],[1. 0.],100.0,0.0
2,1.04,1,1,100.0,0.002534211860111505,[3. 0.],[1. 0.],100.0,0.0,[3. 0.],[1. 0.],100.0,0.0
3,1.05,11,12,91.66666666666666,0.030410542321338063,[3.41666667 0.5       ],[2.         0.08333333],75.0,25.0,[3.72727273 0.54545455],[2.18181818 0.09090909],81.81818181818183,27.27272727272727
4,1.06,16,16,100.0,0.04054738976178408,[4.375  0.5625],[2.     0.1875],100.0,43.75,[4.375  0.5625],[2.     0.1875],100.0,43.75
5,1.07,9,10,90.0,0.025342118601115054,[2.7 0.6],[1.2 0.5],70.0,10.0,[3.         0.66666667],[1.33333333 0.55555556],77.77777777777779,11.11111111111111
6,1.08,34,36,94.44444444444444,0.0912316269640142,[3.13888889 0.61111111],[1.41666667 0.22222222],75.0,19.444444444444446,[3.29411765 0.55882353],[1.47058824 0.20588235],79.41176470588235,20.588235294117645
7,1.09,9,13,69.23076923076923,0.03294475418144957,[2.69230769 1.07692308],[1.46153846 0.38461538],61.53846153846154,30.76923076923077,[3.44444444 1.        ],[1.66666667 0.33333333],77.77777777777779,33.33333333333333
8,1.1,42,46,91.30434782608695,0.11657374556512926,[3.76086957 0.58695652],[1.63043478 0.2173913 ],78.26086956521739,30.434782608695656,[3.97619048 0.47619048],[1.78571429 0.14285714],80.95238095238095,33.33333333333333
9,1.11,45,47,95.74468085106383,0.11910795742524075,[2.85106383 0.46808511],[1.14893617 0.12765957],65.95744680851064,14.893617021276595,[2.93333333 0.42222222],[1.17777778 0.13333333],66.66666666666666,15.555555555555555
10,1.12,49,53,92.45283018867924,0.13431322858590977,[3.16981132 0.52830189],[1.30188679 0.26415094],64.15094339622641,24.528301886792452,[3.34693878 0.44897959],[1.34693878 0.24489796],65.3061224489796,24.489795918367346
11,1.13,35,41,85.36585365853658,0.10390268626457172,[2.87804878 0.75609756],[1.51219512 0.3902439 ],73.17073170731707,26.82926829268293,[3.11428571 0.62857143],[1.65714286 0.37142857],80.0,28.57142857142857
12,1.14,108,129,83.72093023255815,0.3269133299543842,[2.86821705 0.68992248],[1.27906977 0.34883721],70.54263565891473,24.031007751937985,[3.24074074 0.55555556],[1.46296296 0.27777778],75.92592592592592,25.925925925925924
13,1.15,1,1,100.0,0.002534211860111505,[1. 0.],[1. 0.],0.0,0.0,[1. 0.],[1. 0.],0.0,0.0
14,1.16,86,97,88.65979381443299,0.24581855043081602,[3.09278351 0.50515464],[1.29896907 0.25773196],68.04123711340206,22.68041237113402,[3.3255814  0.38372093],[1.36046512 0.18604651],70.93023255813954,23.25581395348837
15,1.17,42,46,91.30434782608695,0.11657374556512926,[2.97826087 0.60869565],[1.34782609 0.23913043],76.08695652173914,21.73913043478261,[3.16666667 0.57142857],[1.42857143 0.21428571],80.95238095238095,21.428571428571427
16,1.18,102,127,80.31496062992126,0.3218449062341612,[2.57480315 0.7007874 ],[1.18110236 0.25984252],62.20472440944882,18.11023622047244,[2.95098039 0.5       ],[1.32352941 0.18627451],66.66666666666666,17.647058823529413
17,1.2,140,169,82.84023668639054,0.42828180435884444,[2.58579882 0.69822485],[1.15976331 0.28994083],67.45562130177515,15.384615384615385,[2.92857143 0.56428571],[1.35       0.26428571],74.28571428571429,17.142857142857142
18,1.22,152,202,75.24752475247524,0.5119107957425241,[2.53960396 0.78712871],[1.28217822 0.30693069],67.82178217821783,20.792079207920793,[2.97368421 0.53289474],[1.52631579 0.21052632],74.3421052631579,23.026315789473685
19,1.25,216,265,81.50943396226415,0.671566142929549,[2.66415094 0.80377358],[1.2        0.39245283],68.67924528301886,21.88679245283019,[3.02314815 0.64814815],[1.33333333 0.3287037 ],75.0,23.61111111111111
20,1.27,5,6,83.33333333333334,0.015205271160669031,[2.66666667 1.        ],[1.33333333 0.33333333],50.0,16.666666666666664,[2.6 0.6],[1.  0.2],40.0,0.0
21,1.28,101,140,72.14285714285714,0.3547896604156108,[2.42142857 0.76428571],[1.00714286 0.36428571],62.857142857142854,15.0,[2.99009901 0.5049505 ],[1.28712871 0.23762376],75.24752475247524,16.831683168316832
22,1.29,63,79,79.74683544303798,0.20020273694880894,[2.64556962 0.62025316],[1.21518987 0.26582278],69.62025316455697,22.78481012658228,[3.04761905 0.41269841],[1.41269841 0.22222222],77.77777777777779,26.984126984126984
23,1.3,159,219,72.6027397260274,0.5549923973644196,[2.38812785 0.79452055],[1.01826484 0.40182648],63.926940639269404,18.2648401826484,[2.94968553 0.61006289],[1.24528302 0.32704403],72.95597484276729,20.754716981132077
24,1.33,265,355,74.64788732394366,0.8996452103395844,[2.30704225 0.8028169 ],[1.0084507  0.36338028],60.56338028169014,18.30985915492958,[2.74339623 0.56981132],[1.21132075 0.29056604],66.41509433962264,21.132075471698116
25,1.36,276,391,70.58823529411765,0.9908768373035985,[2.25319693 0.81074169],[1.0511509  0.38363171],60.61381074168798,18.67007672634271,[2.71014493 0.5       ],[1.24637681 0.27536232],64.85507246376811,18.84057971014493
26,1.37,1,1,100.0,0.002534211860111505,[4. 1.],[1. 0.],100.0,0.0,[4. 1.],[1. 0.],100.0,0.0
27,1.38,11,17,64.70588235294117,0.04308160162189559,[2.17647059 1.11764706],[1.         0.47058824],64.70588235294117,17.647058823529413,[2.90909091 0.81818182],[1.45454545 0.18181818],72.72727272727273,27.27272727272727
28,1.4,340,462,73.59307359307358,1.1708058793715155,[2.26839827 0.72510823],[0.98051948 0.32034632],58.22510822510822,12.554112554112553,[2.76176471 0.51764706],[1.18529412 0.22941176],66.76470588235294,13.823529411764707
29,1.42,5,10,50.0,0.025342118601115054,[2.2 0.7],[0.6 0.2],50.0,10.0,[3.4 0.4],[1.  0.2],60.0,20.0
30,1.44,265,372,71.23655913978494,0.94272681196148,[2.10215054 0.73387097],[0.94892473 0.34139785],51.344086021505376,12.903225806451612,[2.6        0.49056604],[1.16603774 0.23396226],59.62264150943396,15.471698113207546
31,1.45,210,318,66.0377358490566,0.8058793715154586,[2.18867925 0.88993711],[0.96855346 0.39622642],60.062893081761004,14.150943396226415,[2.78571429 0.52857143],[1.23809524 0.22857143],69.04761904761905,16.666666666666664
32,1.48,16,22,72.72727272727273,0.05575266092245312,[2.13636364 0.59090909],[0.81818182 0.36363636],50.0,13.636363636363635,[2.625 0.375],[0.9375 0.25  ],56.25,12.5
33,1.5,373,559,66.7262969588551,1.4166244298023314,[2.04293381 0.82468694],[0.89624329 0.35420394],55.81395348837209,12.880143112701253,[2.62198391 0.48257373],[1.1233244  0.24396783],63.27077747989276,14.745308310991955
34,1.53,239,378,63.227513227513235,0.957932083122149,[2.02380952 0.97089947],[0.96825397 0.38624339],57.14285714285714,16.666666666666664,[2.66108787 0.58577406],[1.27196653 0.26778243],65.69037656903765,20.502092050209207
35,1.55,166,264,62.878787878787875,0.6690319310694374,[1.89772727 0.83333333],[0.81439394 0.36742424],50.0,12.878787878787879,[2.5        0.43975904],[1.06626506 0.20481928],58.43373493975904,14.457831325301203
36,1.57,283,470,60.21276595744681,1.1910795742524076,[1.91702128 0.90425532],[0.86808511 0.37446809],52.55319148936171,13.191489361702127,[2.54063604 0.49116608],[1.12014134 0.21201413],59.717314487632514,14.13427561837456
37,1.6,237,396,59.84848484848485,1.0035478966041562,[1.9040404  0.94444444],[0.92929293 0.39646465],56.56565656565656,14.393939393939394,[2.53164557 0.53164557],[1.25316456 0.26582278],64.13502109704642,19.40928270042194
38,1.61,191,327,58.40978593272171,0.8286872782564623,[1.7706422  0.95718654],[0.76452599 0.45259939],51.07033639143731,13.455657492354739,[2.46073298 0.60732984],[1.07853403 0.28272251],63.87434554973822,14.659685863874344
39,1.62,119,195,61.02564102564103,0.4941713127217436,[1.83076923 0.8974359 ],[0.81538462 0.37948718],53.84615384615385,12.82051282051282,[2.37815126 0.52941176],[1.06722689 0.24369748],61.34453781512605,15.126050420168067
40,1.65,254,422,60.18957345971564,1.0694374049670552,[1.86729858 0.91706161],[0.85781991 0.3957346 ],54.502369668246445,13.507109004739338,[2.58267717 0.52755906],[1.17322835 0.24015748],65.74803149606299,17.322834645669293
41,1.66,186,332,56.024096385542165,0.8413583375570197,[1.68674699 0.95481928],[0.73192771 0.42771084],49.096385542168676,9.939759036144578,[2.34408602 0.51612903],[0.98924731 0.27956989],56.98924731182796,10.75268817204301
42,1.67,120,218,55.04587155963303,0.5524581855043081,[1.73853211 1.01834862],[0.80733945 0.44954128],50.917431192660544,15.59633027522936,[2.36666667 0.61666667],[1.06666667 0.28333333],60.0,15.833333333333332
43,1.7,320,566,56.53710247349824,1.434363912823112,[1.7385159 0.9770318],[0.78975265 0.47526502],50.35335689045937,13.427561837455832,[2.40625 0.51875],[1.08125 0.25625],58.75,15.625
44,1.72,217,356,60.95505617977528,0.9021794221996958,[1.85393258 0.90449438],[0.80337079 0.38483146],50.0,11.235955056179774,[2.4516129  0.55760369],[1.05990783 0.26728111],57.6036866359447,12.442396313364055
45,1.73,130,227,57.268722466960355,0.5752660922453117,[1.75330396 0.94273128],[0.84140969 0.45374449],51.98237885462555,14.537444933920703,[2.41538462 0.56923077],[1.13846154 0.29230769],62.30769230769231,15.384615384615385
46,1.75,438,808,54.207920792079214,2.0476431829700963,[1.75123762 0.9789604 ],[0.77475248 0.43316832],53.21782178217822,11.50990099009901,[2.47488584 0.50913242],[1.08219178 0.19863014],63.926940639269404,12.100456621004566
47,1.8,472,874,54.004576659038904,2.2149011657374555,[1.62814645 0.94736842],[0.72311213 0.41189931],46.224256292906176,10.068649885583524,[2.33686441 0.5       ],[1.03813559 0.23940678],54.66101694915254,11.440677966101696
48,1.83,254,523,48.565965583174,1.3253928028383173,[1.6290631 1.0248566],[0.76099426 0.44550669],50.09560229445506,11.47227533460803,[2.42125984 0.58661417],[1.12992126 0.24409449],63.38582677165354,14.566929133858267
49,1.85,382,754,50.663129973474796,1.9107957425240751,[1.61803714 1.00795756],[0.75331565 0.44164456],48.143236074270554,11.405835543766578,[2.41099476 0.57591623],[1.11256545 0.27225131],58.90052356020943,15.18324607329843
50,1.9,394,795,49.55974842767296,2.014698428788647,[1.59245283 1.        ],[0.75220126 0.4327044 ],48.679245283018865,12.955974842767295,[2.41116751 0.55329949],[1.09390863 0.25380711],61.16751269035533,14.467005076142131
51,1.91,217,439,49.430523917995444,1.112519006588951,[1.53075171 1.03416856],[0.69020501 0.42824601],48.9749430523918,9.79498861047836,[2.31336406 0.61290323],[1.03225806 0.21198157],58.986175115207374,11.981566820276496
52,1.95,500,1029,48.590864917395535,2.6077040040547392,[1.56073858 1.06608358],[0.67249757 0.46744412],47.910592808551996,10.00971817298348,[2.286 0.532],[0.976 0.232],56.8,10.8
53,2.0,580,1302,44.5468509984639,3.29954384186518,[1.42165899 1.05683564],[0.64900154 0.46006144],46.85099846390169,9.984639016897082,[2.25689655 0.52931034],[0.98965517 0.25517241],56.896551724137936,11.03448275862069
54,2.05,479,1092,43.86446886446886,2.767359351241764,[1.43772894 1.04120879],[0.60805861 0.46520147],43.772893772893774,8.699633699633699,[2.2651357  0.50313152],[0.94780793 0.22546973],53.444676409185796,10.22964509394572
55,2.1,537,1194,44.9748743718593,3.0258489609731374,[1.47068677 1.07621441],[0.66917923 0.46147404],47.23618090452261,11.139028475711893,[2.29050279 0.54562384],[1.00931099 0.26443203],57.91433891992551,12.849162011173185
56,2.15,469,1078,43.506493506493506,2.7318803852002027,[1.43320965 1.09925788],[0.63172542 0.47959184],44.89795918367347,9.554730983302411,[2.27078891 0.52665245],[0.98507463 0.24733475],54.15778251599147,12.153518123667377
