,FTHG,FTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
FTHG,1.0,-0.059540454430610734,-0.228025521319489,0.22644722339048895,0.30714632220522925,-0.18671473857360343,0.2101655476560504,0.0046741360725083584,-0.000944941423837766,-0.23241871583469542,0.2340076235265171,0.3123136122041054,-0.20022313195917105,0.22863982302004546,-0.0015256434392440692,0.002855418479255519
FTAG,-0.059540454430610734,1.0,0.27866050093656347,-0.010040393840471179,-0.20534161200938378,-0.10236147194286399,0.08133995008825082,0.0023236200931952213,0.0017092655304695918,0.284990104666827,-0.00043081155292945766,-0.20907130879198552,-0.10749142232575945,0.08356450794123906,-0.017818461526424804,0.020272378667903507
B365H,-0.228025521319489,0.27866050093656347,1.0,0.09121018027332596,-0.4914025728590812,-0.08882376745187352,0.10815157037096533,0.019209673651019582,0.005152347702312305,0.9609001513483283,0.08989506211363942,-0.4799862143588088,-0.07525143770688308,0.09189409252989514,-0.040694239648644645,0.05722662099488291
B365D,0.22644722339048895,-0.010040393840471179,0.09121018027332596,1.0,0.7397694811868427,-0.6076566260944439,0.785289208301661,0.025684264078400503,0.01993223426306664,0.08597256319199746,0.9548260048643292,0.7150204181332147,-0.571758121629857,0.7661757311988275,0.014774249577206619,0.02389850411513732
B365A,0.30714632220522925,-0.20534161200938378,-0.4914025728590812,0.7397694811868427,1.0,-0.2843682161822504,0.4390993524428161,0.006819270902395561,0.013501575710781059,-0.47960685058955976,0.7148056287898782,0.9566702275016018,-0.2814246930861644,0.4540375215763009,0.0399851493580656,-0.0202349209219617
B365>2.5,-0.18671473857360343,-0.10236147194286399,-0.08882376745187352,-0.6076566260944439,-0.2843682161822504,1.0,-0.8732603601566366,-0.006105395691646094,-0.008709702266443537,-0.08605080195138916,-0.602020218937081,-0.2750170143667524,0.9317701231167104,-0.8188023031944388,0.012582143120903633,-0.021840948882331374
B365<2.5,0.2101655476560504,0.08133995008825082,0.10815157037096533,0.785289208301661,0.4390993524428161,-0.8732603601566366,1.0,0.025450696760111642,0.02086352864771752,0.10348898065542446,0.7735434644588934,0.42859573359189806,-0.8082761159089179,0.9405477557037488,0.0010137435874412856,0.0347123742831869
B365AHH,0.0046741360725083584,0.0023236200931952213,0.019209673651019582,0.025684264078400503,0.006819270902395561,-0.006105395691646094,0.025450696760111642,1.0,-0.9080026582162548,0.017299731826679578,0.0223955898227153,0.006957952472387773,-0.003070028009694271,0.021459337061649313,0.09054366280660384,-0.04445840640233852
B365AHA,-0.000944941423837766,0.0017092655304695918,0.005152347702312305,0.01993223426306664,0.013501575710781059,-0.008709702266443537,0.02086352864771752,-0.9080026582162548,1.0,0.00283224028111685,0.017464152007215544,0.010793353643984772,-0.010261128095283165,0.017977632706965636,-0.04909773423002112,0.10096028875331169
B365CH,-0.23241871583469542,0.284990104666827,0.9609001513483283,0.08597256319199746,-0.47960685058955976,-0.08605080195138916,0.10348898065542446,0.017299731826679578,0.00283224028111685,1.0,0.09951466234568247,-0.48438850788550014,-0.07294859694141466,0.09268761753271167,-0.01574644108315266,0.027736927333843146
B365CD,0.2340076235265171,-0.00043081155292945766,0.08989506211363942,0.9548260048643292,0.7148056287898782,-0.602020218937081,0.7735434644588934,0.0223955898227153,0.017464152007215544,0.09951466234568247,1.0,0.7352073760636879,-0.6017888532549017,0.804487357931751,-0.0014453839563363074,0.033293204731974155
B365CA,0.3123136122041054,-0.20907130879198552,-0.4799862143588088,0.7150204181332147,0.9566702275016018,-0.2750170143667524,0.42859573359189806,0.006957952472387773,0.010793353643984772,-0.48438850788550014,0.7352073760636879,1.0,-0.2811991049824734,0.4622966290583637,0.009672165344629328,0.007338914478107145
B365C>2.5,-0.20022313195917105,-0.10749142232575945,-0.07525143770688308,-0.571758121629857,-0.2814246930861644,0.9317701231167104,-0.8082761159089179,-0.003070028009694271,-0.010261128095283165,-0.07294859694141466,-0.6017888532549017,-0.2811991049824734,1.0,-0.8448017342332567,0.018956963458397712,-0.022874485758902323
B365C<2.5,0.22863982302004546,0.08356450794123906,0.09189409252989514,0.7661757311988275,0.4540375215763009,-0.8188023031944388,0.9405477557037488,0.021459337061649313,0.017977632706965636,0.09268761753271167,0.804487357931751,0.4622966290583637,-0.8448017342332567,1.0,-0.008111653877658827,0.03671335546361284
B365CAHH,-0.0015256434392440692,-0.017818461526424804,-0.040694239648644645,0.014774249577206619,0.0399851493580656,0.012582143120903633,0.0010137435874412856,0.09054366280660384,-0.04909773423002112,-0.01574644108315266,-0.0014453839563363074,0.009672165344629328,0.018956963458397712,-0.008111653877658827,1.0,-0.9132305023880991
B365CAHA,0.002855418479255519,0.020272378667903507,0.05722662099488291,0.02389850411513732,-0.0202349209219617,-0.021840948882331374,0.0347123742831869,-0.04445840640233852,0.10096028875331169,0.027736927333843146,0.033293204731974155,0.007338914478107145,-0.022874485758902323,0.03671335546361284,-0.9132305023880991,1.0
